match_id,date,tournament,team1_name,team2_name,event_type,decider_map,winner,team1_avg_RATING,team2_avg_RATING,rating_diff,team1_avg_ADR,team2_avg_ADR,team1_avg_KAST,team2_avg_KAST,team1_totalwinrate,team2_totalwinrate,score_team1,score_team2
hltv_match_2372235,2024-05-17T11:55:00Z,CCT Season 2 Europe Series 4 Closed Qualifier,MASONIC,CPH Wolves,Online,Inferno,team2,0.99,1.04,-0.05,72.32,73.46,68.4,70.54,0.3333333333333333,0.4146341463414634,0,2
hltv_match_2372076,2024-05-17T12:00:00Z,CCT Global Finals 2024,Gaimin Gladiators,GamerLegion,Online,Nuke,team2,1.06,1.05,0.01,74.3,73.72,71.54,71.2,0.4324324324324324,0.5609756097560976,1,2
hltv_match_2371967,2024-05-17T14:00:00Z,CBCS Season 4,Sharks,ODDIK,Online,Anubis,team2,1.11,1.08,0.03,76.38,74.77,72.46,71.1,0.5555555555555556,0.4444444444444444,0,2
hltv_match_2372198,2024-05-17T14:00:00Z,RES Regional Series 4 Europe,Zero Tenacity,PARIVISION,Online,Vertigo,team2,1.02,1.12,-0.1,74.24,76.58,69.98,72.88,0.5303030303030303,0.6388888888888888,1,2
hltv_match_2372077,2024-05-17T16:30:00Z,CCT Global Finals 2024,ENCE,Gaimin Gladiators,Online,Ancient,team1,1.09,1.06,0.03,76.48,74.3,71.48,71.54,0.5,0.5333333333333333,2,0
hltv_match_2372097,2024-05-17T18:00:00Z,NA Revival Cup 2024,BOSS,NRG,Online,Ancient,team2,1.06,1.08,-0.02,74.1,76.52,71.48,72.28,0.391304347826087,0.6071428571428571,0,2
hltv_match_2372099,2024-05-17T20:00:00Z,NA Revival Cup 2024,M80,regain,Online,Vertigo,team1,1.12,1.04,0.08,77.98,74.2,72.22,71.48,0.5882352941176471,0.1666666666666666,2,0
hltv_match_2372277,2024-05-18T04:00:00Z,MESA Pro Series Finals 2024,The MongolZ,ATOX,LAN,Anubis,team1,1.07,1.08,-0.01,74.6,74.7,71.05,71.0,0.6530612244897959,0.5909090909090909,3,0
hltv_match_2372078,2024-05-18T05:30:00Z,CCT Global Finals 2024,fnatic,GamerLegion,Online,Mirage,team2,1.11,1.05,0.06,76.54,73.72,72.84,71.2,0.62,0.55,1,2
hltv_match_2371700,2024-05-18T06:00:00Z,Elisa Invitational Spring 2024,B8,Rebels,Online,Ancient,team1,1.09,1.03,0.06,75.36,73.08,72.84,69.76,0.5769230769230769,0.3448275862068966,2,0
hltv_match_2372002,2024-05-18T08:00:00Z,BetBoom Dacha Belgrade 2024,Spirit,Falcons,LAN,Nuke,team1,1.14,1.15,-0.01,78.98,81.2,73.36,72.9,0.7941176470588235,0.32,2,0
hltv_match_2372238,2024-05-18T08:00:00Z,CCT Season 2 Europe Series 4 Closed Qualifier,VP.Prodigy,CPH Wolves,Online,Mirage,team1,1.0,1.04,-0.04,73.53,73.46,69.63,70.54,0.3333333333333333,0.4,2,0
hltv_match_2372200,2024-05-18T08:00:00Z,RES Regional Series 4 Europe,Rare Atom,Sangal,Online,Anubis,team2,1.07,1.09,-0.02,77.62,76.18,71.62,71.92,0.7037037037037037,0.6896551724137931,0,2
hltv_match_2371699,2024-05-18T09:00:00Z,Elisa Invitational Spring 2024,Monte,Sashi,Online,Vertigo,team2,1.08,1.05,0.03,74.18,74.7,71.92,70.97,0.5142857142857142,0.4736842105263157,0,2
hltv_match_2372079,2024-05-18T09:30:00Z,CCT Global Finals 2024,ENCE,fnatic,Online,Dust2,team1,1.09,1.11,-0.02,76.48,76.54,71.48,72.84,0.4827586206896552,0.4193548387096774,2,1
hltv_match_2372003,2024-05-18T11:00:00Z,BetBoom Dacha Belgrade 2024,MOUZ,HEROIC,LAN,Nuke,team1,1.13,1.06,0.0699999999999998,77.52,73.1,72.54,71.46,0.5454545454545454,0.525,2,0
hltv_match_2372247,2024-05-18T11:10:00Z,CCT Season 2 Europe Series 3,SINNERS,1win,Online,Dust2,team2,1.06,1.06,0.0,74.12,73.16,71.74,72.82,0.5135135135135135,0.5555555555555556,1,2
hltv_match_2371701,2024-05-18T13:00:00Z,Elisa Invitational Spring 2024,B8,Sashi,Online,Mirage,team1,1.09,1.05,0.04,75.36,74.7,72.84,70.97,0.5686274509803921,0.4594594594594595,2,1
hltv_match_2372080,2024-05-18T13:20:00Z,CCT Global Finals 2024,paiN,AMKAL,Online,Vertigo,team2,1.12,1.07,0.05,76.64,75.96,72.98,71.24,0.6949152542372882,0.5357142857142857,0,2
hltv_match_2372123,2024-05-18T14:00:00Z,EPL World Series Americas Season 8,Galorys,ODDIK,Online,Anubis,team2,1.08,1.08,0.0,74.42,74.77,72.06,71.1,0.2857142857142857,0.4318181818181818,0,2
hltv_match_2372202,2024-05-18T14:00:00Z,RES Regional Series 4 Europe,Metizport,Ninjas in Pyjamas,Online,Vertigo,team1,1.08,1.09,-0.01,74.18,77.66,71.6,71.46,0.32,0.3225806451612903,2,0
hltv_match_2371968,2024-05-18T14:00:00Z,CBCS Season 4,9z,Fluxo,Online,Dust2,team1,1.1,1.11,-0.01,76.06,76.84,72.26,71.78,0.3939393939393939,0.5,2,1
hltv_match_2372081,2024-05-18T15:50:00Z,CCT Global Finals 2024,Liquid,OG,Online,Inferno,team1,1.07,1.08,-0.01,78.08,76.13,70.96,71.57,0.6666666666666666,0.4054054054054054,2,1
hltv_match_2371969,2024-05-18T17:00:00Z,CBCS Season 4,RED Canids,ODDIK,Online,Dust2,team1,1.09,1.08,0.01,73.86,74.77,72.34,71.1,0.5789473684210527,0.4186046511627907,2,0
hltv_match_2372082,2024-05-19T05:30:00Z,CCT Global Finals 2024,paiN,OG,Online,Dust2,team1,1.12,1.08,0.04,76.64,76.13,72.98,71.57,0.7068965517241379,0.4166666666666667,2,1
hltv_match_2372204,2024-05-19T08:00:00Z,RES Regional Series 4 Europe,B8,Zero Tenacity,Online,Nuke,team2,1.09,1.02,0.07,75.36,74.24,72.84,69.98,0.56,0.4285714285714285,1,2
hltv_match_2372083,2024-05-19T09:00:00Z,CCT Global Finals 2024,AMKAL,Liquid,Online,Dust2,team2,1.07,1.07,0.0,75.96,78.08,71.24,70.96,0.36,0.4666666666666667,0,2
hltv_match_2372004,2024-05-19T09:00:00Z,BetBoom Dacha Belgrade 2024,Spirit,MOUZ,LAN,Dust2,team2,1.14,1.13,0.01,78.98,77.52,73.36,72.54,0.7878787878787878,0.6470588235294118,0,3
hltv_match_2372084,2024-05-19T11:30:00Z,CCT Global Finals 2024,paiN,AMKAL,Online,Dust2,team2,1.12,1.07,0.05,76.64,75.96,72.98,71.24,0.7017543859649122,0.5185185185185185,0,2
hltv_match_2372205,2024-05-19T11:30:00Z,RES Regional Series 4 Europe,Sashi,Passion UA,Online,Vertigo,team1,1.05,1.08,-0.03,74.7,75.8,70.97,70.9,0.4827586206896552,0.525,2,1
